127.0.0.1 - - [09/May/2021:15:28:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2021:15:28:24 +0900] "GET /JSPBook/week10/main1.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/May/2021:15:30:48 +0900] "POST /JSPBook/week10/cookie01_process.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [09/May/2021:15:31:05 +0900] "POST /JSPBook/week10/cookie01_process.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [09/May/2021:15:31:12 +0900] "POST /JSPBook/week10/cookie01_process.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [09/May/2021:15:35:04 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [09/May/2021:15:35:26 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [09/May/2021:15:35:38 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [09/May/2021:15:35:52 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 826
0:0:0:0:0:0:0:1 - - [09/May/2021:15:36:02 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [09/May/2021:16:41:07 +0900] "GET /JSPBook/week10/main3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2021:16:41:07 +0900] "GET /JSPBook/week10/main2.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [09/May/2021:16:45:32 +0900] "GET /JSPBook/week10/main4.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [09/May/2021:16:49:18 +0900] "GET /JSPBook/week10/main5.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/May/2021:16:50:09 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 500 2415
0:0:0:0:0:0:0:1 - - [09/May/2021:16:50:36 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [09/May/2021:16:50:56 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [09/May/2021:16:51:03 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [09/May/2021:16:51:22 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [09/May/2021:16:53:42 +0900] "GET /JSPBook/week10/main6.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [09/May/2021:16:58:25 +0900] "GET /JSPBook/week10/main7.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [09/May/2021:17:03:12 +0900] "GET /JSPBook/week10/main8.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [09/May/2021:17:10:11 +0900] "GET /JSPBook/week10/main9.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [09/May/2021:17:11:11 +0900] "GET /JSPBook/week10/main9.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [09/May/2021:18:16:22 +0900] "GET /JSPBook/week10/main10.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [09/May/2021:18:17:29 +0900] "GET /JSPBook/week10/main5.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [09/May/2021:18:17:35 +0900] "POST /JSPBook/week10/session01_process.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [09/May/2021:18:17:41 +0900] "GET /JSPBook/week10/main10.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [09/May/2021:18:20:28 +0900] "GET /JSPBook/week10/main11.jsp HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [09/May/2021:18:23:18 +0900] "GET /JSPBook/week10/main12.jsp HTTP/1.1" 200 437
