127.0.0.1 - - [14/Jun/2021:23:12:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map11.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:52 +0900] "GET /JSPBook/FinalProject/map13.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:53 +0900] "GET /JSPBook/FinalProject/map12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:12:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:35:08 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:35:08 +0900] "GET /JSPBook/FinalProject/logo.png HTTP/1.1" 200 156161
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:35:20 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:35:20 +0900] "GET /JSPBook/FinalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:37:11 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:37:11 +0900] "GET /JSPBook/FinalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:37:55 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:37:55 +0900] "GET /JSPBook/FinalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:38:14 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:39:03 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:39:04 +0900] "GET /JSPBook/FinalProject/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:23:39:09 +0900] "GET /JSPBook/FinalProject/festival1.jsp HTTP/1.1" 200 3739
